ym,census_mean,census_p95,occ_mean,occ_p95,edwin_mean,nedocs_mean,readi_mean,board_mean,arr_per_hr,awt_curr_min,visits,arr_per_day,bed_med_min,icu_med_min
2022-08,22.276881720430108,34.0,55.69220430107527,85.0,0.6853465355990676,248.5813471710004,4.272320691991811,9.58736559139785,7.076612903225806,254.06854838709677,5269,169.83870967741933,267.0,231.0
2022-09,26.495833333333334,42.0,66.23958333333333,105.0,0.9537496315124483,322.9552019999196,4.998676228990702,12.044444444444444,8.591666666666667,293.51944444444445,6183,206.2,301.0,212.5
2022-10,29.125,46.0,72.8125,114.99999999999999,1.133830879056266,403.2056880144873,5.35598959212456,14.00268817204301,8.758064516129032,337.24932795698925,6513,210.19354838709677,360.5,231.0
2022-11,25.488888888888887,39.0,63.72222222222222,97.5,0.9031981049373359,312.6601917510854,4.612623909383921,11.977777777777778,7.1819444444444445,296.28055555555557,5172,172.36666666666667,292.5,272.0
2022-12,24.024193548387096,37.0,60.060483870967744,92.5,0.8041642085164362,283.56688627981885,4.342431816111588,10.883064516129032,6.870967741935484,283.119623655914,5115,164.90322580645162,291.0,232.0
2023-01,27.370967741935484,41.85000000000002,68.4274193548387,104.62500000000006,1.0081338477846757,366.1279828205966,5.107875636522971,13.153225806451612,8.36021505376344,344.62029569892474,6224,200.64516129032256,319.5,341.0
2023-02,31.324404761904763,51.44999999999993,78.3110119047619,128.62499999999983,2.5690659834956233,485.77779762335473,5.135570617516836,17.188988095238095,7.370535714285714,433.20386904761904,4950,176.89285714285714,409.0,326.0
2023-03,31.543010752688172,47.0,78.85752688172043,117.5,1.6190170425273502,494.5265393072219,4.9848795417971665,18.022849462365592,6.932795698924731,487.5954301075269,5159,166.38709677419354,540.0,296.0
2023-04,27.61111111111111,42.0,69.02777777777777,105.0,1.1103266643934404,368.9642362960283,4.67738212376846,13.952777777777778,7.143055555555556,383.08680555555554,5149,171.43333333333334,385.5,193.0
2023-05,46.935483870967744,65.0,117.33870967741936,162.5,13.172346691859916,817.3687840203538,6.766085976601922,29.087365591397848,8.151881720430108,708.0288978494624,6054,195.6451612903226,1050.0,328.0
2023-06,40.334722222222226,54.0,100.83680555555556,135.0,2.563304749129971,796.4086544400225,6.272443858438074,22.245833333333334,8.276388888888889,662.5715277777778,5965,198.63333333333333,535.0,297.0
2023-07,37.88709677419355,52.0,94.71774193548387,130.0,3.0366896474712792,650.5885140749731,5.734366299892988,21.916666666666668,7.428763440860215,552.828629032258,5524,178.29032258064515,681.0,266.0
2023-08,30.24462365591398,43.0,75.61155913978494,107.5,1.4459615734129103,428.3790025597933,4.9613177819360565,15.936827956989248,7.026881720430108,399.48924731182797,5227,168.6451612903226,439.5,233.0
2023-09,29.88888888888889,47.0,74.72222222222223,117.5,1.466197932202967,451.3320466111915,5.140343615332122,14.206944444444444,7.9,365.43958333333336,5694,189.60000000000002,361.0,190.5
2023-10,33.494623655913976,48.0,83.73655913978494,120.0,1.8038869944479228,498.33719460264854,5.464852765863628,17.842741935483872,7.858870967741935,461.3662634408602,5846,188.61290322580643,589.5,219.0
2023-11,29.141666666666666,45.0,72.85416666666667,112.5,1.671991970034074,432.8985742241518,4.891908968926077,15.46111111111111,7.405555555555556,415.37152777777777,5328,177.73333333333335,505.0,221.0
2023-12,33.61693548387097,53.0,84.04233870967742,132.5,3.4036979759229533,487.28080468348816,5.366344644451182,18.543010752688172,7.521505376344086,476.2305107526882,5597,180.51612903225805,589.0,242.0
2024-01,39.774193548387096,56.0,99.43548387096774,140.0,5.181854455614191,631.3476908174222,5.927670400485622,24.27016129032258,7.787634408602151,607.366935483871,5789,186.90322580645162,900.0,248.5
2024-02,32.06609195402299,48.0,80.16522988505747,120.0,1.558226311962965,463.45412409135514,5.336989358275464,16.40948275862069,8.137931034482758,431.04525862068965,5670,195.3103448275862,478.5,324.0
2024-03,39.3494623655914,54.0,98.3736559139785,135.0,6.460316618792022,626.2836705180275,5.740377210825272,25.149193548387096,6.918010752688172,634.3944892473119,5151,166.03225806451613,964.0,302.5
2024-04,33.704166666666666,48.0,84.26041666666667,120.0,3.087897288596441,477.12129738100975,5.253611421276501,19.538888888888888,7.1097222222222225,501.4263888888889,5116,170.63333333333333,756.0,194.0
2024-05,34.48521505376344,52.0,86.21303763440861,130.0,4.7291015718948,533.6130871438464,5.284575820440682,21.373655913978496,6.946236559139785,615.7681451612904,5164,166.70967741935485,744.5,251.0
2024-06,49.577777777777776,70.04999999999995,123.94444444444444,175.1249999999999,20.027216510335585,811.6781144074611,6.868276296574609,31.85972222222222,7.722222222222222,1002.3104166666667,5562,185.33333333333334,1284.5,318.0
2024-07,52.240591397849464,69.0,130.60147849462365,172.5,26.812840661673203,891.2822660259403,6.802208052657456,35.38709677419355,7.073924731182796,1129.1263440860216,5262,169.7741935483871,1529.0,273.0
2024-08,36.26209677419355,61.85000000000002,90.65524193548387,154.62500000000006,8.217387185852873,619.9000446115961,5.178482124451824,21.538978494623656,6.396505376344086,755.0409946236559,4758,153.51612903225805,597.0,269.0
2024-09,31.618055555555557,51.0,79.04513888888889,127.49999999999999,3.2633625057947433,443.1454879502332,4.961564969209758,17.97361111111111,6.925,509.5104166666667,4987,166.2,582.0,290.5
2024-10,40.52284946236559,58.0,101.30712365591398,145.0,5.298248170572391,779.8634775784666,5.768518463423858,24.75537634408602,6.895161290322581,758.7123655913979,5132,165.48387096774195,1036.0,212.0
2024-11,30.520833333333332,47.0,76.30208333333333,117.5,2.12854302984351,456.1336963358257,4.7646825266090795,17.929166666666667,6.575,520.9375,4732,157.8,614.0,230.0
2024-12,30.827956989247312,47.0,77.06989247311827,117.5,1.6242860351287125,446.5163126137902,4.812010596964471,17.59543010752688,6.462365591397849,466.12567204301075,4808,155.09677419354838,551.0,259.0
